2026-03-24 02:12:06 - Suspensos: 1 revendedores, 2 usuários
2026-03-24 02:15:38 - Suspensos: 1 revendedores, 2 usuários
2026-03-24 02:19:57 - Suspensos: 1 revendedores, 2 usuários
2026-03-24 02:21:03 - Vencidos: 1 revendedores, 2 usuários
2026-03-24 02:21:29 - Vencidos: 1 revendedores, 2 usuários
2026-03-24 02:24:29 - Vencidos: 1 revendedores, 2 usuários
2026-03-24 02:24:35 - Vencidos: 1 revendedores, 2 usuários
2026-03-27 04:34:24 - Vencidos: 1 revendedores, 0 usuários
2026-03-27 20:10:17 - Vencidos: 1 revendedores, 1 usuários
2026-03-27 20:20:16 - Vencidos: 1 revendedores, 1 usuários
2026-03-27 20:41:52 - Vencidos: 1 revendedores, 1 usuários
2026-03-31 04:22:47 - Vencidos: 0 revendedores, 1 usuários
2026-03-31 04:22:57 - Vencidos: 0 revendedores, 1 usuários
2026-03-31 04:23:07 - Vencidos: 0 revendedores, 1 usuários
2026-03-31 04:23:17 - Vencidos: 0 revendedores, 1 usuários
2026-03-31 04:23:27 - Vencidos: 0 revendedores, 1 usuários
2026-03-31 04:23:37 - Vencidos: 0 revendedores, 1 usuários
2026-03-31 04:23:47 - Vencidos: 0 revendedores, 1 usuários
2026-03-31 04:23:57 - Vencidos: 0 revendedores, 1 usuários
2026-03-31 04:24:07 - Vencidos: 0 revendedores, 1 usuários
2026-03-31 04:24:17 - Vencidos: 0 revendedores, 1 usuários
2026-03-31 04:24:27 - Vencidos: 0 revendedores, 1 usuários
2026-03-31 04:24:42 - Vencidos: 0 revendedores, 1 usuários
2026-03-31 04:24:52 - Vencidos: 0 revendedores, 1 usuários
2026-03-31 04:25:02 - Vencidos: 0 revendedores, 1 usuários
2026-03-31 04:25:16 - Vencidos: 0 revendedores, 1 usuários
2026-03-31 04:25:26 - Vencidos: 0 revendedores, 1 usuários
2026-03-31 04:25:36 - Vencidos: 0 revendedores, 1 usuários
2026-03-31 04:25:49 - Vencidos: 0 revendedores, 1 usuários
2026-03-31 04:25:59 - Vencidos: 0 revendedores, 1 usuários
2026-03-31 04:26:09 - Vencidos: 0 revendedores, 1 usuários
2026-03-31 04:26:19 - Vencidos: 0 revendedores, 1 usuários
2026-03-31 04:26:29 - Vencidos: 0 revendedores, 1 usuários
2026-03-31 04:26:41 - Vencidos: 0 revendedores, 1 usuários
2026-03-31 04:26:54 - Vencidos: 0 revendedores, 1 usuários
2026-03-31 04:27:08 - Vencidos: 0 revendedores, 1 usuários
2026-03-31 04:27:18 - Vencidos: 0 revendedores, 1 usuários
2026-03-31 04:27:28 - Vencidos: 0 revendedores, 1 usuários
2026-03-31 04:27:38 - Vencidos: 0 revendedores, 1 usuários
2026-03-31 04:27:48 - Vencidos: 0 revendedores, 1 usuários
2026-03-31 04:27:58 - Vencidos: 0 revendedores, 1 usuários
2026-03-31 04:28:08 - Vencidos: 0 revendedores, 1 usuários
2026-03-31 04:28:18 - Vencidos: 0 revendedores, 1 usuários
2026-03-31 04:28:28 - Vencidos: 0 revendedores, 1 usuários
2026-03-31 04:28:39 - Vencidos: 0 revendedores, 1 usuários
2026-03-31 04:28:49 - Vencidos: 0 revendedores, 1 usuários
2026-03-31 04:28:59 - Vencidos: 0 revendedores, 1 usuários
2026-03-31 04:29:09 - Vencidos: 0 revendedores, 1 usuários
2026-03-31 04:29:19 - Vencidos: 0 revendedores, 1 usuários
2026-03-31 04:29:29 - Vencidos: 0 revendedores, 1 usuários
2026-03-31 04:30:29 - Vencidos: 0 revendedores, 1 usuários
2026-03-31 04:31:07 - Vencidos: 0 revendedores, 1 usuários
2026-03-31 04:31:08 - Vencidos: 0 revendedores, 1 usuários
2026-03-31 04:31:38 - Vencidos: 0 revendedores, 1 usuários
2026-03-31 04:31:54 - Vencidos: 0 revendedores, 1 usuários
2026-03-31 04:32:04 - Vencidos: 0 revendedores, 1 usuários
2026-03-31 04:38:24 - Vencidos: 0 revendedores, 2 usuários
2026-03-31 04:38:51 - Vencidos: 0 revendedores, 2 usuários
2026-03-31 04:39:01 - Vencidos: 0 revendedores, 3 usuários
2026-03-31 04:39:11 - Vencidos: 0 revendedores, 3 usuários
2026-03-31 04:39:21 - Vencidos: 0 revendedores, 3 usuários
2026-03-31 04:39:31 - Vencidos: 0 revendedores, 3 usuários
2026-03-31 04:39:41 - Vencidos: 0 revendedores, 3 usuários
2026-03-31 04:39:51 - Vencidos: 0 revendedores, 3 usuários
2026-03-31 04:40:08 - Vencidos: 0 revendedores, 3 usuários
2026-03-31 04:40:26 - Vencidos: 0 revendedores, 3 usuários
